Source Lat Long Species cline Bio1 Bio2 Bio3 Bio4 Bio5 Bio6 Bio7 Bio8 Bio9 Bio10 Bio11 Bio12 Bio13 Bio14 Bio15 Bio16 Bio17 Bio18 Bio19
BER 63.927 65.033 PO OUR -27 69 152 12927 210 -243 453 140 -131 155 -202 547 74 22 41 220 66 211 86
BOR 61.758 90.049 PO YEN -31 68 139 14332 225 -266 492 156 -140 169 -229 510 63 20 35 183 60 181 99
BRI 53.26 34.42 PA EUR 63 71 214 9341 236 -95 331 186 -64 186 -64 603 80 29 30 231 94 231 94
BY_1 53.9045 27.5615 PA EUR 62 69 227 8467 225 -81 306 174 -52 174 -52 612 80 30 30 235 96 235 96
BY_2 55.18333 30.16667 PA EUR 61 67 212 8739 227 -90 316 178 -58 178 -58 623 85 31 32 244 98 244 98
BY_3 53.92 25.83 PA EUR 67 69 231 8187 226 -72 298 176 -43 176 -43 712 89 36 28 264 115 264 115
BY_4 55.58 28.18 PA EUR 63 66 213 8485 226 -83 309 177 -23 177 -52 650 79 35 28 237 107 237 109
CZE 50.10833 12.80528 PA EUR 64 74 280 6767 205 -59 263 152 -25 156 -25 681 81 42 25 243 130 231 145
DE_1 47.92708 8.08900 PA EUR 103 74 290 6414 242 -15 257 188 121 192 18 959 95 68 12 281 204 259 245
DE_2 47 12.23 PA EUR -35 85 308 6508 105 -169 275 50 -118 55 -123 976 137 36 42 397 112 395 128
EKA 56.5 60.35 PO OUR 19 74 190 11216 221 -170 391 169 -79 169 -134 588 100 21 49 276 64 276 88
ENI 58.453 92.2 PO YEN -1 75 157 13604 242 -235 477 172 -107 186 -194 477 65 17 37 183 53 161 92
FI_1 62.4 24.29 PA EUR 36 67 205 8656 211 -113 324 152 -81 158 -81 571 77 25 34 227 86 200 86
FI_2 61.57 29.22 PA EUR 37 61 185 9091 214 -116 329 158 -57 164 -88 627 82 30 33 235 96 199 98
FIPA17 66.436 26.686 PA EUR 8 62 182 9530 194 -148 342 136 -22 145 -118 517 66 26 31 196 83 179 87
GERH 47.463 12.262 PA EUR 59 84 299 6803 203 -77 280 152 -28 152 -33 1353 166 74 29 497 239 497 276
GERL 47 12.262 PA EUR -7 85 305 6618 135 -143 278 79 -92 84 -97 912 138 35 44 395 108 390 122
Indigo 67.27 49.88 PO Indigo -21 59 163 9920 171 -190 361 113 -64 118 -156 480 58 25 32 172 75 156 83
ITAH 42.27 13.595 PA EUR 110 76 292 6340 253 -8 261 91 49 204 29 856 103 56 20 295 169 196 171
ITAL 41.807 13.595 PA EUR 121 70 281 6133 257 9 248 104 203 212 43 972 151 41 37 402 138 139 251
KAZM 64.696 65.608 PO OUR -34 68 150 13028 207 -248 455 137 -142 150 -207 529 71 23 38 208 69 192 86
KM 61.05 69.253 PO OUR -9 72 161 12812 224 -224 448 153 -113 169 -184 578 83 21 43 239 65 235 97
KRA 55.985 92.762 PO YEN 15 79 180 12373 237 -203 441 171 -86 183 -159 451 68 14 48 203 42 187 59
LT 54.6872 25.2797 PA EUR 69 67 228 8054 226 -69 295 175 -40 175 -40 586 71 32 26 209 100 209 100
OKT 62.452 66.087 PO OUR -12 71 157 12788 222 -228 450 150 -112 167 -188 607 80 27 33 227 83 196 116
PAH 54.2 58.5 PO OUR -2 81 204 11411 201 -196 397 147 -108 147 -158 497 92 17 54 253 52 253 57
PAL 55.34 58.52 PO OUR 22 79 197 11441 228 -170 398 173 -81 173 -133 691 103 27 43 289 81 289 109
PL_1 53.1325 23.1688 PA EUR 74 69 243 7789 229 -57 285 177 -30 178 -30 560 74 27 33 218 84 204 84
PL_2 50.34 22.58 PA EUR 86 72 254 7668 236 -49 285 186 -17 187 -17 632 90 30 38 265 92 232 92
PL_3 52.42 23.46 PA EUR 75 71 247 7844 230 -57 287 178 -1 178 -30 615 80 33 30 232 100 222 103
PL_4 54.03 23.03 PA EUR 72 67 237 7707 224 -58 282 173 -32 174 -32 560 75 24 34 219 78 207 78
PUT 65.907 65.909 PO OUR -45 65 145 12998 198 -253 451 130 -215 140 -215 595 81 26 36 237 85 209 85
R1 68.97 33.15 PA RUS 11 52 183 7804 166 -116 282 120 -66 120 -92 453 58 21 35 174 63 174 72
R2 63.4 34.23 PO RUS 22 63 183 9540 209 -135 344 149 -107 157 -107 622 90 29 35 244 93 190 93
R20 64.45 43.14 PO RUS 11 64 173 10074 210 -160 370 142 -79 155 -124 569 67 28 29 201 88 196 90
R22 61.15 46.54 PO RUS 23 66 174 10508 225 -156 381 171 -69 171 -119 546 72 23 33 207 73 207 101
R24 59.7 37.57 PA RUS 32 66 189 9740 218 -129 347 167 -100 167 -100 603 85 26 34 239 86 239 86
R27 58.24 42.2 PA RUS 34 67 188 10152 226 -133 359 174 -61 174 -102 652 81 31 28 234 96 234 111
R29 56.1 36.58 PA RUS 50 67 198 9450 227 -110 337 178 -43 178 -78 619 83 27 34 236 83 236 94
R35 56.5 53.1 PO RUS 36 76 190 11423 246 -152 398 178 -71 190 -118 552 67 25 31 198 77 187 90
R38 60.39 57.06 PO RUS 11 68 169 11436 224 -181 405 153 -80 170 -146 694 84 31 29 238 95 237 146
R5 59.3 30.52 PA RUS 51 64 199 8815 225 -98 323 167 -69 173 -69 675 86 30 32 254 98 231 98
R8 58.24 25.38 PA RUS 57 65 214 8031 218 -86 304 165 -30 167 -53 697 83 33 31 247 101 229 112
RO_1 47.58 25.57 PA EUR 50 77 256 7985 202 -97 299 152 -56 154 -59 815 133 30 57 387 90 339 94
RO_2 46.3625 23.04556 PA EUR 87 80 268 7786 240 -59 299 165 -16 189 -21 592 85 30 35 239 95 198 112
SEPA15 64.75 18.29 PA EUR 19 65 206 8621 191 -124 315 142 -62 142 -92 601 93 29 36 243 93 243 98
SHA 57.14 58.42 PO OUR 20 71 182 11193 223 -167 391 171 -76 171 -133 621 77 28 30 219 86 219 135
SK 48.7325 19.14917 PA EUR 85 75 258 7645 236 -55 292 161 -15 186 -20 673 80 41 21 224 125 197 136
SWE_1 61.6 12.923 PA EUR 26 65 228 7612 182 -102 284 130 -45 133 -72 700 88 31 33 254 103 251 105
SWE_2 62.063 12.923 PA EUR 11 63 228 7450 165 -113 278 116 -59 116 -84 615 87 26 39 249 82 249 86
